Group,Ideology,Website,ExternalLinksToSite,OwnersOtherDomains,SiteDescription,OnlineSince,SiteTitle,ThreeMonthAvgUSRank,PageViewsPerMillion,PageViewsPerUser,ContributingSubdomains
Kentucky League of the South,Neo-Confederate,http://kentuckyleagueofthesouth.webs.com/,3,,,,kentuckyleagueofthesouth.webs.com/,,,,
Israel United In Christ,Black Nationalist,http://israelunite.org/,90,,,,israelunite.org/,297020,0.09,1.8,DataUrl
In the Spirit of Chartres Committee,Rad Catholics,http://isoc.ws/,26,,,,isoc.ws/,14216384,0,7,
Islamthreat.com,Anti-Muslim,http://islamthreat.com/,42,,,,islamthreat.com/,5145938,0,1,
Institute for Historical Review,Holocaust Denial,http://ihr.org/,2193,"{u'OwnedDomain': {u'Domain': u'revisionists.com', u'Title': u'revisionists.com'}}","Site of the world s leading historical revisionist organisation. Many articles from its journal (founded in 1980) are reproduced, and also contains a few general texts on the subject of why the mainstream Holocaust historiography is allegedly wrong.",13-Mar-1998,Institute for Historical Review,254301,0.09,1.3,DataUrl
IHM Media,Rad Catholics,http://ihmmedia.net/,2,,,,ihmmedia.net/,13937160,0,3,
H.L. Mencken Club,White Nationalist,http://hlmenckenclub.org/,85,,,,hlmenckenclub.org/,4347143,0,2,
Heathens Motorcycle Club,Hate Music & Neo-Nazi,http://heathensmf.com/,1,,,,heathensmf.com/,,,,
Crew38 & Hammerskin Nation website,Hate Music & Neo-Nazi,http://hammerskins.net/,65,,"International site with gallery, event listings, forum, and profiles and contact information of chapters.",26-Aug-2002,Hammerskin Nation,1661701,0.01,2.5,
Great Lakes Knights,KKK,http://greatlakesknights.my-free.website/,10367,,,,greatlakesknights.my-free.website/,166572,0.15,1.2,"filteryt2.my-free.website, easyincome.my-free.website, pdexploits.my-free.website, robuxhack2017.my-free.website, filteryt.my-free.website, pasuan.my-free.website, printersupportsnumber.my-free.website, tutoandroidpc.my-free.website, chadyblack.my-free.website, bushmotors.my-free.website, fxsecrets.my-free.website, berlin.my-free.website, bushbrands.my-free.website, kilibikeadventures.my-free.website, florafashions.my-free.website, OTHER"
Germar Rudolf,Holocaust Denial,http://germarrudolf.com,252,"{u'OwnedDomain': [{u'Domain': u'tadp.org', u'Title': u'tadp.org'}, {u'Domain': u'vho.org', u'Title': u'vho.org'}]}",,15-Jun-2004,germarrudolf.com/,2011800,0.01,2.0,DataUrl
Florida League of the South,Neo-Confederate,http://freeflorida.org/,21,,"Goal is the cultural, social, economic, and political independence and well-being of the Southern People.",04-Aug-1999,Florida League of the South,7222174,0,2,
Florida United,Hate Music & Neo-Nazi,http://floridaunited.weebly.com/,,,,,floridaunited.weebly.com/,,,,
Fellowship of God's Covenant People,Christian Identity,http://fgcp.org/,61,,,,fgcp.org/,4521640,0,1,
Bosch Fawstin,Anti-Muslim,http://fawstin.blogspot.com/,298,,,,fawstin.blogspot.com/,6271159,0,1,
"Faith Baptist Church, Greenville, GA",Anti-LGBT,http://faithbaptistchurchprimrose.com,2,,,,faithbaptistchurchprimrose.com/,,,,
Faith And Heritage,Neo-Confederate,http://faithandheritage.com/,317,,,,faithandheritage.com/,456393,0.07,2.4,DataUrl
Euro Folk Radio,Christian Identity,http://eurofolkradio.com/,121,,,,eurofolkradio.com/,514261,0.05,2.1,"eurofolkradio.com, OTHER"
Non-Universal Teaching Ministries,Christian Identity,http://emahiser.christogenea.org/,318,,Christianity for the Thinking Man,,Christogenea.org,427013,0.07,2.5,"christogenea.org, mk.christogenea.org, boards.christogenea.org, OTHER"
Heritage and Destiny,White Nationalist,http://efp.org.uk/,73,"{u'OwnedDomain': [{u'Domain': u'aryanunity.com', u'Title': u'aryanunity.com'}, {u'Domain': u'drypool.co.uk', u'Title': u'drypool.co.uk'}, {u'Domain': u'faem.com', u'Title': u'faem.com'}, {u'Domain': u'fatherfeeney.org', u'Title': u'fatherfeeney.org'}, {u'Domain': u'heretical.com', u'Title': u'heretical.com'}, {u'Domain': u'natfront.com', u'Title': u'natfront.com'}, {u'Domain': u'natfront.net', u'Title': u'natfront.net'}, {u'Domain': u'nationalist.net', u'Title': u'nationalist.net'}, {u'Domain': u'ooff.com', u'Title': u'ooff.com'}, {u'Domain': u'redwatch.co.uk', u'Title': u'redwatch.co.uk'}, {u'Domain': u'rwb.org.uk', u'Title': u'rwb.org.uk'}, {u'Domain': u'skrewdriver.net', u'Title': u'skrewdriver.net'}, {u'Domain': u'spearhead.com', u'Title': u'spearhead.com'}, {u'Domain': u'white.org.uk', u'Title': u'white.org.uk'}]}","It criticises British nationalism and supports English nationalism instead. Manifesto, principles, news, contact details.",,England First Party,4167733,0,1,DataUrl
Yahweh's Truth,Christian Identity,http://doctorjamespwickstrom.blogspot.com/,24,,,,doctorjamespwickstrom.blogspot.com/,,,,
Dixie Republic,Neo-Confederate,http://dixierepublic.com/,25,,,,dixierepublic.com/,3064625,0.01,2,
Dixie Outfitters,Neo-Confederate,http://dixieoutfitters.com/pages/blog/category/news/interesting-email/,116,"{u'OwnedDomain': [{u'Domain': u'barberandcompany.com', u'Title': u'barberandcompany.com'}, {u'Domain': u'barbershopping.com', u'Title': u'barbershopping.com'}]}","Sells a range of T-Shirts, civil war art and civil war uniforms.",07-Nov-1998,Dixie Outfitters,1842254,0.01,2.0,"dixieoutfitters.com, OTHER"
Divine Truth Ministries,Christian Identity,http://divine-truth.org/,16,,,,divine-truth.org/,13686193,0,1,
Desastrious Records,Hate Music & Neo-Nazi,http://desastrious.blogspot.com/,3,,,,desastrious.blogspot.com/,,,,
Deir Yassin Remembered,Holocaust Denial,http://deiryassinuk.webeden.co.uk/,9570,,,07-Dec-2004,deiryassinuk.webeden.co.uk/,292695,0.1,1.8,"webeden.co.uk, mrg.webeden.co.uk, OTHER"
David James Boston,Christian Identity,http://davidjamesboston.com/Home/,11,,,,davidjamesboston.com/Home,16162198,0,2,
The Creativity Movement,Hate Music & Neo-Nazi,http://creativitymovement.net/forum/,96,,,,creativitymovement.net/forum,3893541,0,3,
The Creativity Movement,Hate Music & Neo-Nazi,http://creativitymovement.net/,96,,,,creativitymovement.net/,3893541,0,3,
The Creativity Alliance,Hate Music & Neo-Nazi,http://creativityalliance.com/,58,,,,creativityalliance.com/,1946888,0.01,1.6,DataUrl
Covenant People's Ministry,Christian Identity,http://covenantpeoplesministry.org/cpm/wp/,126,,"Covenant People’s Ministry is led by Pastor Jeromy John Visser and is the web presence of Covenant People’s Church. Our site features audio sermons, books, topical studies, forums, Biblical discussion and numerous Christian links. Swing by today!",19-Feb-2005,Covenant People s Ministry,7080172,0,1,
CCC,White Nationalist,http://conservative-headlines.com/,440,,Advocating against minorities and racial integration.,,Council of Conservative Citizens,459874,0.05,1.4,DataUrl
Committee for Open Debate on the Holocaust,Holocaust Denial,http://codoh.com/,838,"{u'OwnedDomain': {u'Domain': u'codoh.org', u'Title': u'codoh.org'}}",Website of Holocaust revisionist Bradley R. Smith and the Committee for Open Debate on the Holocaust (CODOH). CODOH encourages a free and open debate on the Holocaust question.,11-Jul-1996,Committee for Open Debate on the Holocaust,377864,0.07,1.8,"codoh.com, forum.codoh.com, shop.codoh.com"
Christ Assembly,Christian Identity,http://christsassembly.com/,50,,,,The Christ&#039;s Assembly Worldwide,1780768,0.01,2.2,"newensign.christsassembly.com, christsassembly.com"
Christ or Chaos,Rad Catholics,http://christorchaos.com/,174,"{u'OwnedDomain': {u'Domain': u'christthekingcollege.com', u'Title': u'christthekingcollege.com'}}",,12-Dec-2000,christorchaos.com/,3869439,0,1,DataUrl
Christogenea,Christian Identity,http://christogenea.org/,318,,Christianity for the Thinking Man,,Christogenea.org,427013,0.07,2.5,"christogenea.org, mk.christogenea.org, boards.christogenea.org, OTHER"
Christian Identity Church,Christian Identity,http://christianidentitychurch.net/,44,,,,christianidentitychurch.net/,4564451,0,2,
Christian Action Network,Anti-Muslim,http://christianaction.org/,300,,,01-Apr-1999,Christian Action Network,4626266,0,2,
Center for Security Policy,Anti-Muslim,http://centerforsecuritypolicy.org/,1459,,,06-Aug-2001,Center for Security Policy,653913,0.03,1.5,DataUrl
Slaves of the Immaculate Heart of Mary,Rad Catholics,http://catholicism.org/,754,,"Dedicated to the belief that outside the Catholic church there is no salvation. Mission, history, doctrine, and apologetics.",17-Sep-1996,"St. Benedict Center (Richmond, New Hampshire)",290972,0.07,1.2,"catholicism.org, OTHER"
"Brother Nathanael Foundation, The",General Hate,http://brothernathanaelfoundation.org/,89,,,,brothernathanaelfoundation.org/,924899,0.02,1.9,DataUrl
bootsandbraces.ning.com,Hate Music & Neo-Nazi,http://bootsandbraces.ning.com,,,,,bootsandbraces.ning.com/,,,,
Behold Barbarity,Hate Music & Neo-Nazi,http://beholdbarbarity.storenvy.com/,13,,,,beholdbarbarity.storenvy.com/,,,,
Barnes Review/Foundation for Economic Liberty,Holocaust Denial,http://barnesreview.org/,455,,,25-Apr-1997,barnesreview.org/,768664,0.04,3.1,DataUrl
Parasitic Records,Hate Music & Neo-Nazi,http://bandcamp.com/tag/parasitic-records,107415,,,,Band Camp - Bandcamp - Bandcamp.com,628,88.49,3.14,"bandcamp.com, daily.bandcamp.com, themidnight.bandcamp.com, redlettermedia.bandcamp.com, chillhop.bandcamp.com, wanderingartist.bandcamp.com, 4everfreebrony.bandcamp.com, radiojuicy.bandcamp.com, newretrowave.bandcamp.com, popplers5.bandcamp.com, grizzlyfetish.bandcamp.com, mach-hommy.bandcamp.com, homestuck.bandcamp.com, suicideboys.bandcamp.com, circularlimited.bandcamp.com, norite.bandcamp.com, knxwledge.bandcamp.com, clairecottrill.bandcamp.com, dreamcatalogue.bandcamp.com, vyletpony.bandcamp.com, cryochamber.bandcamp.com, theflashbulb.bandcamp.com, shponglemusic.bandcamp.com, phantasmadisques.bandcamp.com, neoncityrecords.bandcamp.com, orangemilkrecords.bandcamp.com, jensrecords.bandcamp.com, musicformessier.bandcamp.com, vulfpeck.bandcamp.com, liluglymane.bandcamp.com, bellwitch.bandcamp.com, menitrust.bandcamp.com, lasersedge.bandcamp.com, brockhewittstories.bandcamp.com, daupe.bandcamp.com, amyo.bandcamp.com, fatherdaughterrecords.bandcamp.com, eatroffles.bandcamp.com, volarrecords.bandcamp.com, pinegrove.bandcamp.com, khruangbin.bandcamp.com, fasolprod.bandcamp.com, polegroup.bandcamp.com, michellezauner.bandcamp.com, jojibeats.bandcamp.com, hypnoticdirgerecords.bandcamp.com, deathsdynamicshroud.bandcamp.com, whalesandechoes.bandcamp.com, studiomdhr.bandcamp.com, c418.bandcamp.com, blvckceiling.bandcamp.com, annulledmusic.bandcamp.com, vektroid.bandcamp.com, thekingsoftinythings.bandcamp.com, truthorconsequencesmusic.bandcamp.com, jinsangbeats.bandcamp.com, dunkey.bandcamp.com, simonstalenhag.bandcamp.com, simgretina.bandcamp.com, blackesteverblack.bandcamp.com, midwestcollective.bandcamp.com, blood-music.bandcamp.com, sandy.bandcamp.com, jazzspastiks.bandcamp.com, glitched.bandcamp.com, fogman.bandcamp.com, wispx.bandcamp.com, griffinmcelroy.bandcamp.com, blankbanshee.bandcamp.com, 0101.bandcamp.com, urbanwavesrecords.bandcamp.com, icaneditzcomicz.bandcamp.com, perturbator.bandcamp.com, lavidaesunmus.bandcamp.com, carseatheadrest.bandcamp.com, carpenterbrut.bandcamp.com, sovereigngracemusic.bandcamp.com, lobstertheremin.bandcamp.com, lewisfautzi-figure.bandcamp.com, darkdescentrecords.bandcamp.com, svn.bandcamp.com, ultimae.bandcamp.com, godflesh1.bandcamp.com, convergecult.bandcamp.com, OTHER"
Attack the System,Hate Music & Neo-Nazi,http://attackthesystem.com/,326,,,25-Jan-2001,attackthesystem.com/,993598,0.02,1.3,DataUrl
Nation of Islam,Black Nationalist,http://asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html,,,,,asgsouthwest.blogspot.com/2010/05/nation-of-islam-meeting-times.html,,,,
Aryan Terror Brigade,Hate Music & Neo-Nazi,http://aryanterrorbrigade.tumblr.com/,,,,,aryanterrorbrigade.tumblr.com/,,,,
Anglo-Saxon Israel,Christian Identity,http://anglo-saxonisrael.com/,121,,,26-Jan-2004,anglo-saxonisrael.com/,4616425,0,4,
Andrew Carrington Hitchcock,Holocaust Denial,http://andrewcarringtonhitchcock.com/,134,,,,andrewcarringtonhitchcock.com/,543994,0.04,1.5,DataUrl
America's Promise Ministries,Christian Identity,http://amprom.org,5599,,"America&apos;s Promise Ministries is a Christian whole Bible non-denominational church and our main motive is to glorify Jesus Christ and His Will, Plan, and Purposes. To help build up the Sons of God in the Most Holy Faith and prepare them for the ... Our Church is a worldwide Christian Ministry of Covenant believers. We follow both the Old and New Testament of Christ. ...",19-Jan-1998,America's Promise Ministries,6789323,0,1,DataUrl
American Viking Clothing,Hate Music & Neo-Nazi,http://americanvikings.us,1,,,,americanvikings.us/,,,,
American Viking Clothing,Hate Music & Neo-Nazi,http://americanvikings.com/,5,,,,americanvikings.com/,2955898,0.01,3,
American Free Press,General Hate,http://americanfreepress.net/,2637,,,02-Aug-2001,Americanfreepress.net,394147,0.06,1.4,"americanfreepress.net, shop.americanfreepress.net, OTHER"
American Freedom Union,White Nationalist,http://americanfreedomunion.com/,51,,,,americanfreedomunion.com/,5404701,0,1,
American Eagle Party,White Nationalist,http://americaneagleparty.com/,15,,,,americaneagleparty.com/,6302961,0,1,
Alternative Right,White Nationalist,http://alternative-right.blogspot.com/,489,,,,alternative-right.blogspot.com/,1217625,0.01,1.4,DataUrl
Nation of Islam,Black Nationalist,http://addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html,101,,,,addr.ws/the-nation-of-islam-lexington-ky-study-group--lexington-us.html,444564,0.04,1.1,"addr.ws, OTHER"
Active Democracy,General Hate,http://active-democracy.com/,17,,,,active-democracy.com/,8177592,0,2,
Black Riders Liberation Party,Black Nationalist,http://2servethapeople.wixsite.com/brlp,106931,,,,2servethapeople.wixsite.com/brlp,559,59.12,1.43,"thefernandaman.wixsite.com, megmiokabe.wixsite.com, zantix.wixsite.com, rateiocursos.wixsite.com, puchirichclub.wixsite.com, moxnox2222.wixsite.com, schmidtconsulting.wixsite.com, angelkwan6.wixsite.com, thomas8602.wixsite.com, kajar9.wixsite.com, goppolsme.wixsite.com, sketchbookpixels.wixsite.com, brittpinkiesims.wixsite.com, vbn1599512005.wixsite.com, elliesimple.wixsite.com, blaclewait.wixsite.com, spectacledchic.wixsite.com, japansecurity.wixsite.com, karasawa1499.wixsite.com, infofirstcoltd.wixsite.com, elreyruletero.wixsite.com, kevin17c.wixsite.com, biomagnetismoonline.wixsite.com, topfilm-liste.wixsite.com, byalchemixgta.wixsite.com, knjcommunity.wixsite.com, forsanalazhar.wixsite.com, serg060183.wixsite.com, ebonixsims.wixsite.com, urantob.wixsite.com, programask.wixsite.com, refuleros.wixsite.com, grooup.wixsite.com, andrakarma.wixsite.com, yamabuki-xx572.wixsite.com, gigantenerd.wixsite.com, d76conference.wixsite.com, astrolady.wixsite.com, 21android.wixsite.com, nickcarter89.wixsite.com, marchenforyou.wixsite.com, joeinoue.wixsite.com, pokelly.wixsite.com, ulabhubroma.wixsite.com, caoliucc.wixsite.com, flairforevents.wixsite.com, ozaki56jp.wixsite.com, stevenbrowncu.wixsite.com, tidusgamecomics.wixsite.com, wakachan020611.wixsite.com, gabrielrvilarouca.wixsite.com, pipe-gba.wixsite.com, vilaotech.wixsite.com, grafity-cc.wixsite.com, guiapandorabox.wixsite.com, neuedada.wixsite.com, daz3dfree.wixsite.com, beststreaming2017.wixsite.com, lloydgday.wixsite.com, knowingbrother.wixsite.com, taya-dream.wixsite.com, blahberrypancake.wixsite.com, detectiveconanw.wixsite.com, zedsoft.wixsite.com, miyajimanuma.wixsite.com, lightsartsproduction.wixsite.com, free-love9.wixsite.com, t-amusefactory.wixsite.com, rgnnr8.wixsite.com, nightpray1.wixsite.com, generacionzx.wixsite.com, chadolbagimore.wixsite.com, savagesims.wixsite.com, assettocorsa-mods.wixsite.com, rlord050.wixsite.com, denbaks.wixsite.com, selvaticonaturista.wixsite.com, howhugeistoohuge.wixsite.com, rqcash.wixsite.com, ayumea.wixsite.com, weronikasims.wixsite.com, npomorineko.wixsite.com, bettercalljo.wixsite.com, ye-developers.wixsite.com, yamatekai.wixsite.com, novvvas.wixsite.com, libresdigital.wixsite.com, tujhrf70.wixsite.com, assettocorsa-land.wixsite.com, aelkaeid.wixsite.com, panpan2558.wixsite.com, chisamidream.wixsite.com, bpenergia.wixsite.com, avogado6.wixsite.com, redmatchbox.wixsite.com, matiasbareiro15.wixsite.com, OTHER"
American Renaissance,White Nationalist,amren.com,1813,,A conservative publication. Promotes a variety of white racial positions.,11-Aug-1995,American Renaissance,67745,0.71,2.5,"amren.com, store.amren.com"
